Stn_Code,Sampling_Date,State,City/Town/Village/Area,Type_of_Location,SO2,NO2,RSPM/PM10,Month
40,03-01-2015,Karnataka,Mysore,1,10,22,39,1
40,06-01-2015,Karnataka,Mysore,1,11,22,40,1
40,09-01-2015,Karnataka,Mysore,1,11,22,37,1
40,13-01-2015,Karnataka,Mysore,1,11,24,44,1
40,17-01-2015,Karnataka,Mysore,1,11,22,48,1
40,20-01-2015,Karnataka,Mysore,1,11,23,63,1
40,23-01-2015,Karnataka,Mysore,1,11,23,49,1
40,28-01-2015,Karnataka,Mysore,1,11,24,56,1
40,30-01-2015,Karnataka,Mysore,1,12,24,86,1
40,03-02-2015,Karnataka,Mysore,1,11,25,47,2
40,05-02-2015,Karnataka,Mysore,1,14,25,46,2
40,07-02-2015,Karnataka,Mysore,1,14,27,34,2
40,10-02-2015,Karnataka,Mysore,1,14,27,83,2
40,13-02-2015,Karnataka,Mysore,1,13,27,82,2
40,19-02-2015,Karnataka,Mysore,1,16,27,75,2
40,21-02-2015,Karnataka,Mysore,1,15,27,79,2
40,24-02-2015,Karnataka,Mysore,1,17,28,79,2
40,04-03-2015,Karnataka,Mysore,1,13,25,83,3
40,06-03-2015,Karnataka,Mysore,1,14,26,50,3
40,10-03-2015,Karnataka,Mysore,1,16,28,49,3
40,13-03-2015,Karnataka,Mysore,1,13,26,65,3
40,17-03-2015,Karnataka,Mysore,1,18,30,68,3
40,20-03-2015,Karnataka,Mysore,1,16,28,42,3
40,24-03-2015,Karnataka,Mysore,1,16,27,82,3
40,26-03-2015,Karnataka,Mysore,1,15,25,101,3
40,30-03-2015,Karnataka,Mysore,1,17,29,71,3
40,04-04-2015,Karnataka,Mysore,1,13,26,64,4
40,07-04-2015,Karnataka,Mysore,1,11,24,59,4
40,10-04-2015,Karnataka,Mysore,1,12,26,51,4
40,16-04-2015,Karnataka,Mysore,1,12,24,53,4
40,23-04-2015,Karnataka,Mysore,1,11,23,46,4
40,25-04-2015,Karnataka,Mysore,1,15,29,55,4
40,28-04-2015,Karnataka,Mysore,1,11,22,108,4
40,05-05-2015,Karnataka,Mysore,1,11,24,49,5
40,07-05-2015,Karnataka,Mysore,1,12,23,56,5
40,12-05-2015,Karnataka,Mysore,1,13,26,106,5
40,16-05-2015,Karnataka,Mysore,1,13,24,69,5
40,19-05-2015,Karnataka,Mysore,1,11,23,42,5
40,21-05-2015,Karnataka,Mysore,1,12,23,67,5
40,23-05-2015,Karnataka,Mysore,1,13,24,75,5
40,26-05-2015,Karnataka,Mysore,1,12,24,70,5
40,29-05-2015,Karnataka,Mysore,1,10,23,48,5
40,02-06-2015,Karnataka,Mysore,1,12,23,63,6
40,04-06-2015,Karnataka,Mysore,1,11,23,46,6
40,09-06-2015,Karnataka,Mysore,1,11,23,158,6
40,12-06-2015,Karnataka,Mysore,1,10,22,46,6
40,16-06-2015,Karnataka,Mysore,1,12,24,67,6
40,19-06-2015,Karnataka,Mysore,1,12,23,68,6
40,23-06-2015,Karnataka,Mysore,1,10,22,53,6
40,25-06-2015,Karnataka,Mysore,1,13,24,55,6
40,27-06-2015,Karnataka,Mysore,1,13,25,90,6
40,02-07-2015,Karnataka,Mysore,1,11,24,51,7
40,04-07-2015,Karnataka,Mysore,1,11,20,52,7
40,07-07-2015,Karnataka,Mysore,1,11,21,53,7
40,10-07-2015,Karnataka,Mysore,1,10,22,65,7
40,14-07-2015,Karnataka,Mysore,1,11,22,78,7
40,17-07-2015,Karnataka,Mysore,1,11,22,57,7
40,21-07-2015,Karnataka,Mysore,1,11,22,42,7
40,24-07-2015,Karnataka,Mysore,1,11,22,46,7
40,29-07-2015,Karnataka,Mysore,1,11,22,32,7
40,04-08-2015,Karnataka,Mysore,1,12,23,93,8
40,07-08-2015,Karnataka,Mysore,1,12,23,40,8
40,11-08-2015,Karnataka,Mysore,1,10,22,37,8
40,14-08-2015,Karnataka,Mysore,1,12,23,52,8
40,18-08-2015,Karnataka,Mysore,1,10,21,37,8
40,20-08-2015,Karnataka,Mysore,1,11,22,33,8
40,22-08-2015,Karnataka,Mysore,1,11,23,44,8
40,25-08-2015,Karnataka,Mysore,1,12,23,53,8
40,28-08-2015,Karnataka,Mysore,1,11,24,52,8
40,03-09-2015,Karnataka,Mysore,1,11,22,49,9
40,04-09-2015,Karnataka,Mysore,1,10,22,41,9
40,08-09-2015,Karnataka,Mysore,1,12,23,91,9
40,11-09-2015,Karnataka,Mysore,1,11,21,38,9
40,15-09-2015,Karnataka,Mysore,1,13,24,79,9
40,19-09-2015,Karnataka,Mysore,1,11,22,36,9
40,22-09-2015,Karnataka,Mysore,1,12,23,59,9
40,24-09-2015,Karnataka,Mysore,1,13,25,52,9
40,29-09-2015,Karnataka,Mysore,1,10,22,33,9
40,03-10-2015,Karnataka,Mysore,1,12,23,107,10
40,06-10-2015,Karnataka,Mysore,1,11,23,50,10
40,09-10-2015,Karnataka,Mysore,1,12,22,32,10
40,14-10-2015,Karnataka,Mysore,1,12,23,79,10
40,16-10-2015,Karnataka,Mysore,1,12,24,61,10
40,20-10-2015,Karnataka,Mysore,1,12,23,62,10
40,28-10-2015,Karnataka,Mysore,1,12,23,47,10
40,30-10-2015,Karnataka,Mysore,1,13,24,99,10
40,03-11-2015,Karnataka,Mysore,1,8,16,46,11
40,05-11-2015,Karnataka,Mysore,1,10,22,36,11
40,06-11-2015,Karnataka,Mysore,1,7,17,34,11
40,10-11-2015,Karnataka,Mysore,1,12,23,49,11
40,11-11-2015,Karnataka,Mysore,1,11,23,29,11
40,12-11-2015,Karnataka,Mysore,1,13,26,66,11
40,17-11-2015,Karnataka,Mysore,1,7,15,55,11
40,20-11-2015,Karnataka,Mysore,1,6,17,26,11
40,24-11-2015,Karnataka,Mysore,1,7,17,51,11
40,27-11-2015,Karnataka,Mysore,1,7,16,39,11
40,02-12-2015,Karnataka,Mysore,1,6,18,55,12
